open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
24285.66000000,25167.40000000,24123.00000000,24998.78000000,439421.32998000,10847330151.94100580,10418081,220403.30289000,5441432259.26084610
24998.78000000,27756.84000000,24890.00000000,27395.13000000,624460.68091000,16476681071.24337980,13113359,318022.61356000,8392477832.00232200
27395.13000000,27724.85000000,26578.00000000,26907.49000000,371238.97174000,10135945069.64262880,9948603,185687.70768000,5070480124.59387840
26907.49000000,28390.10000000,26827.22000000,27972.87000000,372066.99054000,10264707987.59416350,9578297,188150.56147000,5191102286.40091840
27972.87000000,28472.00000000,27124.47000000,27717.01000000,477378.23373000,13300424536.51492210,11775950,239765.29148000,6680704887.53214600
27717.01000000,28438.55000000,27303.10000000,28105.47000000,420929.74220000,11760492716.33759010,11530870,210472.34027000,5880942507.63001030
28107.81000000,28868.05000000,26601.80000000,27250.97000000,224113.41296000,6272099822.44962380,3589327,110355.97386000,3089585214.11506410
27250.97000000,28750.00000000,27105.00000000,28295.41000000,128649.60818000,3591123573.11495830,2159091,65172.02479000,1819323637.29034450
28295.42000000,28374.30000000,27000.00000000,27454.47000000,86242.06544000,2403443392.02730140,1511137,41449.56122000,1155147465.73899320
27454.46000000,27787.33000000,27156.09000000,27462.95000000,50844.08102000,1397227639.21413780,1088721,25326.94876000,696042529.08396240
27462.96000000,28194.40000000,27417.76000000,27968.05000000,49671.70353000,1380973402.99612050,1068196,25248.15818000,702028235.05732650
27968.05000000,28023.86000000,26508.14000000,27124.91000000,88039.46898000,2407130888.03460520,1575264,43151.91539000,1179905180.61352780
27124.90000000,27520.00000000,26631.78000000,27261.07000000,78602.44341000,2124533606.76555600,1521981,38972.61486000,1053473599.25876880
27261.06000000,28650.00000000,27240.10000000,28348.60000000,89486.16008000,2519887866.21115870,1704217,45742.08025000,1288220696.49267820
28348.60000000,29184.68000000,27686.00000000,28028.53000000,98865.43256000,2808471938.64244290,1843652,49100.20979000,1394972886.70623690
28028.53000000,28656.69000000,27511.71000000,28465.36000000,78198.12139000,2203253311.77735070,1537349,39636.47111000,1117184234.18685750
28465.36000000,28819.71000000,28220.27000000,28452.73000000,30238.44753000,860804237.45226890,822781,15171.37738000,431931567.48274810
28452.74000000,28530.00000000,27856.43000000,28171.87000000,37365.65692000,1053600933.06768050,938464,17897.01839000,504647268.08636430
28171.87000000,28500.99000000,27200.24000000,27800.00000000,79180.01405000,2214361048.78236680,1651062,40534.82008000,1133865764.09162880
27800.00000000,28444.44000000,27662.79000000,28165.47000000,49722.55691000,1397141464.87503610,1102007,25083.95234000,704845402.41914090
28165.47000000,28775.00000000,27805.10000000,28170.01000000,60737.64732000,1721098539.06605670,1262730,30556.88672000,865971090.17046820
28170.01000000,28182.05000000,27711.00000000,28033.82000000,40118.94963000,1122713087.55618260,934548,19308.64369000,540384260.85680000
28033.83000000,28100.00000000,27766.94000000,27906.33000000,24762.09387000,691323748.92864130,655634,11983.13367000,334559478.47028190
27906.34000000,28154.99000000,27859.02000000,27938.38000000,19479.96735000,545324518.68607540,624159,9729.24214000,272366679.34403870
27938.38000000,28530.00000000,27800.00000000,28323.76000000,32531.16101000,913915923.69519570,777589,16885.70757000,474454325.35692960
28323.76000000,29770.00000000,28170.00000000,29637.34000000,67754.06220000,1955300943.17083050,1285695,36147.62326000,1043138687.59161250
29637.35000000,30550.00000000,29590.00000000,30200.42000000,67990.07621000,2046078278.08211760,1340458,34766.92718000,1046250622.29345680
30200.43000000,30486.00000000,29637.40000000,29888.07000000,62049.48451000,1863497606.14153030,1246556,31136.38576000,935223730.57256700
29888.07000000,30595.00000000,29854.59000000,30373.84000000,51934.11731000,1571091101.12996720,1054144,26767.65298000,809748635.00258690
30373.84000000,31000.00000000,29966.00000000,30466.93000000,75984.19452000,2323267494.38023010,1504180,38406.59006000,1174371283.56516650
30466.93000000,30595.60000000,30202.00000000,30295.09000000,25429.81247000,772211097.61401600,732418,12424.34509000,377293528.31290670
30295.10000000,30549.99000000,30120.00000000,30304.65000000,26431.99322000,801322926.15256510,708233,13163.73591000,399115587.00359810
30304.66000000,30316.06000000,29240.65000000,29430.27000000,56441.81127000,1675287761.43303550,1137294,26880.17771000,797711012.80718160
29430.27000000,30485.00000000,29096.78000000,30380.01000000,62004.89434000,1861001491.97869730,1141562,32417.57068000,972769560.73030390
30380.01000000,30413.53000000,28520.00000000,28797.10000000,86575.48656000,2541283888.30344700,1699891,41467.78872000,1217556267.20109590
28797.10000000,29088.30000000,28010.00000000,28243.65000000,76879.09372000,2198854031.42474610,1434642,36919.58585000,1055949765.77249960
28243.65000000,28374.02000000,27125.00000000,27262.84000000,77684.76790000,2164667611.93546060,1463628,38419.13612000,1070540576.47579210
27262.84000000,27882.72000000,27140.35000000,27816.85000000,36023.69686000,989379475.32182320,859500,18612.89655000,511200971.63622680
27816.85000000,27816.85000000,27311.25000000,27590.60000000,34812.09581000,959389698.75725510,873485,17610.47671000,485328645.69431090
27590.59000000,28000.00000000,26942.82000000,27510.93000000,53111.56874000,1458406515.64042130,1211080,25641.28044000,704079582.65149220
27510.93000000,28399.99000000,27192.00000000,28300.79000000,52325.14637000,1446329375.24273110,1087067,26833.47192000,742069216.99895360
28300.80000000,30036.00000000,27235.00000000,28415.29000000,129228.40403000,3719701461.90916330,2261942,64540.55521000,1857698379.26540040
28415.29000000,29890.00000000,28378.86000000,29472.77000000,95430.82431000,2784859692.36461990,1990148,48601.97474000,1418439305.61790460
29472.77000000,29599.54000000,28891.00000000,29311.70000000,54298.16578000,1590683771.66819790,1129240,26659.21640000,780784851.54703740
29311.69000000,29448.88000000,29031.00000000,29230.45000000,20466.83058000,599466910.04666210,619319,10024.59978000,293627195.70583270
29230.45000000,29969.39000000,29079.59000000,29233.21000000,39752.53720000,1172155267.87618970,949458,19894.27252000,586711670.55607390
29233.20000000,29337.34000000,27666.95000000,28068.26000000,64433.65958000,1828221138.95443980,1362793,30761.92690000,872712018.18082540
28068.26000000,28879.88000000,27872.00000000,28669.86000000,50824.52240000,1441733922.01164440,1174697,24789.36748000,703206831.78018060
28669.85000000,29266.66000000,28113.69000000,29026.16000000,64615.79213000,1845961218.84324360,1502909,32291.20998000,922549963.25075790
29026.16000000,29379.83000000,28663.64000000,28838.16000000,42575.47501000,1233816136.16065770,961542,20470.21240000,593281438.93813760
28838.16000000,29677.00000000,28800.00000000,29505.61000000,58415.83048000,1709786814.90113400,1288027,29071.98606000,850975342.64243030
