open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,price_range,close_to_open,target
1773.0,1827.99,1772.48,1793.07,536865.5972,967342311.0822339,810500,283946.5459,511607922.31168306,55.50999999999999,20.069999999999936,1793.61
1793.06,1829.69,1763.0,1793.61,579690.0394,1039397383.7804,876484,299825.6561,537640857.627622,66.69000000000005,0.5499999999999545,1821.52
1793.6,1847.28,1777.91,1821.52,554525.4762,1006896937.025254,902956,289189.755,525237162.94212705,69.36999999999989,27.920000000000073,1820.79
1821.52,1842.83,1807.81,1820.79,272904.9674,497460628.07619107,579259,138942.8139,253278130.995171,35.01999999999998,-0.7300000000000182,1794.51
1820.8,1824.81,1771.7,1794.51,322122.9385,580909276.164171,637705,162593.2236,293256522.063042,53.1099999999999,-26.289999999999964,1810.51
1794.51,1839.99,1762.77,1810.51,628503.6619,1131436800.437073,1098681,318256.9181,573104096.04297,77.22000000000003,16.0,1870.37
1810.51,1891.91,1802.01,1870.37,622208.6411,1151551698.653268,1087425,324318.0474,599946499.3590231,89.90000000000009,59.8599999999999,1908.69
1870.38,1942.98,1864.58,1908.69,548595.5155,1045846831.791563,1077031,281338.725,536320635.934765,78.40000000000009,38.309999999999945,1872.41
1908.68,1909.91,1853.7,1872.41,396241.4352,743618300.024,916688,190334.8978,357167485.352436,56.210000000000036,-36.26999999999998,1863.72
1872.41,1882.61,1841.46,1863.72,284256.4873,528718750.378566,829061,143802.1285,267474497.282928,41.149999999999864,-8.690000000000055,1848.82
1863.73,1879.38,1847.0,1848.82,197905.5407,368792680.929658,902787,97213.2882,181198387.334433,32.38000000000011,-14.910000000000082,1858.92
1848.82,1873.99,1824.01,1858.92,287131.3079,529878494.840373,953458,146393.8295,270125898.843105,49.98000000000002,10.100000000000136,1910.2
1858.91,1918.79,1846.4,1910.2,434739.7984,816212712.862947,586284,218877.8586,410947350.79718,72.38999999999987,51.289999999999964,1889.86
1910.21,1937.37,1881.11,1889.86,405203.4892,774389695.845932,590527,209441.7172,400266668.51136094,56.25999999999999,-20.350000000000136,1917.39
1889.86,1933.0,1852.65,1917.39,630844.4186,1195663632.078732,801456,318566.1128,603818547.582894,80.34999999999991,27.5300000000002,2012.01
1917.4,2023.0,1899.55,2012.01,676164.5188,1333377092.124591,911569,358627.7444,706952043.883102,123.45000000000005,94.6099999999999,2099.99
2012.0,2128.76,2009.22,2099.99,896307.3934,1877719501.123732,1182309,463960.1556,971826170.9948311,119.54000000000019,87.98999999999978,2090.6
2099.99,2111.85,2071.13,2090.6,321823.7851,674260851.49151,505299,159120.98,333402759.039286,40.7199999999998,-9.389999999999873,2118.67
2090.61,2141.54,2072.72,2118.67,319880.4393,673034613.415835,529231,162518.1328,341954921.313032,68.82000000000016,28.059999999999945,2074.0
